order_id,customer_id,order_date,product_category,quantity,unit_price_usd,order_status,payment_method
STA-O6091,STA-C5180,29-11-2025,Coffee Beans (Retail),5,17.74,Delivered,Cash
STA-O11756,STA-C4456,13-03-2023,Tea,2,3.49,Delivered,Mobile App
STA-O5072,STA-C1994,14-09-2024,Sandwiches,2,7.18,Delivered,Credit Card
STA-O6150,STA-C4269,19-12-2025,Coffee Beans (Retail),4,18.44,Returned,Mobile App
STA-O11336,STA-C6366,22-09-2025,Tea,3,5.34,Cancelled,Mobile App
STA-O10414,STA-C10294,04-10-2024,Cold Coffee,3,5.06,Delivered,Starbucks Card
STA-O7561,STA-C3594,24-01-2023,Frappuccino,5,5.06,Unknown,Mobile App
STA-O10079,STA-C7493,16-08-2023,Hot Coffee,4,3.14,Pending,Cash
STA-O6481,STA-C9036,24-02-2025,Frappuccino,2,5.16,Delivered,Mobile App
STA-O9106,STA-C8982,28-12-2023,Coffee Beans (Retail),5,11.42,Delivered,Credit Card
STA-O5566,STA-C6109,16-04-2025,Bakery,2,2.14,Delivered,Credit Card
STA-O6509,STA-C6840,30-08-2023,Coffee Beans (Retail),4,16.44,Pending,Mobile App
STA-O9232,STA-C9740,23-02-2023,Coffee Beans (Retail),2,21.81,Delivered,Starbucks Card
STA-O5052,STA-C4206,20-07-2025,Sandwiches,1,5.01,Shipped,Cash
STA-O8236,STA-C6147,19-08-2024,Tea,3,4.03,Delivered,Cash
STA-O14581,STA-C8774,16-05-2024,Frappuccino,3,5.9,Shipped,Mobile App
STA-O7818,STA-C4899,30-06-2023,Cold Coffee,4,5.86,Delivered,Credit Card
STA-O7101,STA-C9262,25-11-2025,Coffee Beans (Retail),3,16.18,Delivered,Mobile App
STA-O8995,STA-C2534,14-07-2025,Coffee Beans (Retail),4,13.97,Delivered,Credit Card
STA-O14158,STA-C5273,30-10-2024,Tea,5,4.56,Returned,Credit Card
STA-O5279,STA-C8493,05-07-2024,Coffee Beans (Retail),2,18.32,Returned,Starbucks Card
STA-O9126,STA-C9050,02-12-2025,Tea,5,3.75,Returned,Credit Card
