revenue_id,order_id,payment_date,amount_paid_usd,payment_status,refund_amount_usd
STA-R11277,STA-O6546,07-08-2025,9.74,Paid,0
STA-R18369,STA-O14102,03-05-2023,34.96,Paid,0
STA-R10971,STA-O10283,28-06-2024,8.27,Paid,8.27
STA-R12498,STA-O11407,07-11-2023,31.8,Paid,31.8
STA-R16483,STA-O9373,17-09-2024,10.72,Paid,0
STA-R10108,STA-O8012,10-07-2023,74.52,Paid,0
STA-R12443,STA-O7124,12-02-2025,26.85,Paid,0
STA-R9693,STA-O14879,10-04-2025,6.01,Refunded,0
STA-R14886,STA-O10677,27-11-2023,7.11,Paid,0
STA-R16191,STA-O7075,16-05-2025,12.48,Paid,0
STA-R9275,STA-O6384,08-03-2023,139.35,Paid,66.94
STA-R12408,STA-O11282,28-07-2023,31.34,Refunded,0
STA-R16763,STA-O14978,13-05-2024,19.84,Paid,0
STA-R16021,STA-O7143,11-04-2023,15,Paid,0
STA-R10781,STA-O10394,23-05-2023,12.52,Paid,12.52
STA-R18299,STA-O8399,07-02-2023,7.58,Paid,0
STA-R18194,STA-O11735,03-01-2023,2.21,Paid,0
STA-R17363,STA-O13322,01-11-2024,12.66,Paid,0
STA-R9081,STA-O7529,06-02-2023,46.72,Paid,0
STA-R9671,STA-O11348,27-11-2024,20.28,Paid,20.28
STA-R9173,STA-O11693,15-09-2023,23.28,Refunded,0
STA-R10812,STA-O9939,12-09-2024,78.15,Paid,0
STA-R17805,STA-O13969,23-09-2023,20.3,Refunded,0
STA-R11179,STA-O13505,10-08-2023,8.06,Paid,0
STA-R13761,STA-O9457,16-03-2024,18.85,Paid,0
STA-R10396,STA-O13635,11-12-2023,7.21,Paid,7.21
STA-R17976,STA-O9342,07-12-2024,13.58,Paid,2.68
STA-R9041,STA-O8183,03-10-2025,20.64,Paid,20.64
STA-R17316,STA-O14578,25-07-2023,43.34,Paid,0
STA-R13376,STA-O7502,08-06-2025,4.34,Paid,0
STA-R11559,STA-O14358,13-02-2024,16.11,Refunded,0
STA-R18501,STA-O5628,11-07-2025,17.36,Paid,0
STA-R18289,STA-O14737,01-01-2023,15.88,Paid,0
STA-R16334,STA-O5045,02-01-2023,32.35,Refunded,0
STA-R13856,STA-O12642,30-12-2023,21.45,Paid,0
